@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
13410,1,500,2,13.41
13180,1,1000,2,6.59
13420,1,2500,2,2.68
13690,1,2500,2,2.74
13920,1,2000,2,3.48
13520,1,2000,2,3.38
13230,1,2000,2,3.31
13170,1,500,2,13.17
13650,1,2500,2,2.73
13780,1,2000,2,3.44
13190,1,2000,2,3.3
13630,1,1500,2,4.54
13710,1,2000,2,3.43
13370,1,2000,2,3.34
13680,1,2500,2,2.74
13460,1,2000,2,3.37
13480,1,2000,2,3.37
13490,1,2500,2,2.7
13520,1,1500,2,4.51
13760,1,2000,2,3.44
13780,1,2500,2,2.76
13550,1,1000,2,6.78
13920,1,2500,2,2.78
13480,1,1000,2,6.74
13810,1,2500,2,2.76
13830,1,1000,2,6.92
13370,1,1500,2,4.46
13410,1,1000,2,6.71
13440,1,2500,2,2.69
14030,1,2000,2,3.51
13310,1,2000,2,3.33
13600,1,1500,2,4.53
13460,1,1500,2,4.49
13760,1,500,2,13.76
13670,1,2000,2,3.42
13730,1,1500,2,4.58
13530,1,1000,2,6.76
13250,1,2500,2,2.65
13880,1,2500,2,2.78
13640,1,2000,2,3.41
13220,1,1500,2,4.41
14080,1,2500,2,2.82
13570,1,2000,2,3.39
13420,1,1500,2,4.47
13490,1,2000,2,3.37
13480,1,2000,2,3.37
13950,1,2500,2,2.79
13690,1,2500,2,2.74
13810,1,1000,2,6.91
13140,1,1500,2,4.38
13080,1,2000,2,3.27
13730,1,1000,2,6.87
13690,1,2500,2,2.74
13580,1,2000,2,3.4
13470,1,2000,2,3.37
14120,1,1500,2,4.71
13180,1,2000,2,3.29
13460,1,2500,2,2.69
13590,1,2500,2,2.72
13760,1,2000,2,3.44
13640,1,1500,2,4.55
13450,1,2000,2,3.36
13140,1,2500,2,2.63
13750,1,1500,2,4.58
13520,1,1500,2,4.51
13680,1,1000,2,6.84
13610,1,500,2,13.61
13170,1,1500,2,4.39
14160,1,1500,2,4.72
13850,1,2500,2,2.77
13610,1,1500,2,4.54
13840,1,1500,2,4.61
13920,1,1500,2,4.64
13760,1,1500,2,4.59
13500,1,1000,2,6.75
13640,1,2500,2,2.73
13620,1,2000,2,3.4
13840,1,2500,2,2.77
13800,1,1500,2,4.6
13050,1,2500,2,2.61
13140,1,500,2,13.14
13760,1,2000,2,3.44
13830,1,2500,2,2.77
13180,1,1500,2,4.39
13550,1,2500,2,2.71
13810,1,2000,2,3.45
13270,1,1000,2,6.63
13220,1,2000,2,3.31
13790,1,2000,2,3.45
13710,1,2500,2,2.74
13370,1,2000,2,3.34
13750,1,2000,2,3.44
13560,1,2000,2,3.39
13290,1,1500,2,4.43
13660,1,2000,2,3.42
13560,1,2500,2,2.71
13490,1,500,2,13.49
13810,1,2000,2,3.45
13360,1,2500,2,2.67
13460,1,1500,2,4.49
13690,1,2500,2,2.74
13680,1,1000,2,6.84
13720,1,2500,2,2.74
13740,1,1500,2,4.58
13500,1,2000,2,3.38
13870,1,2500,2,2.77
13700,1,2500,2,2.74
13480,1,2500,2,2.7
13560,1,1000,2,6.78
14230,1,2500,2,2.85
13630,1,2000,2,3.41
13950,1,500,2,13.95
13740,1,1500,2,4.58
13360,1,2500,2,2.67
13310,1,1000,2,6.66
13760,1,500,2,13.76
13820,1,2500,2,2.76
13380,1,2500,2,2.68
13300,1,2500,2,2.66
13510,1,2500,2,2.7
13530,1,2000,2,3.38
13200,1,2500,2,2.64
13340,1,2500,2,2.67
13310,1,2500,2,2.66
13650,1,2500,2,2.73
13480,1,2500,2,2.7
13610,1,2000,2,3.4
13750,1,500,2,13.75
13160,1,1000,2,6.58
13470,1,1500,2,4.49
13510,1,1500,2,4.5
13490,1,2500,2,2.7
13680,1,2500,2,2.74
13520,1,2500,2,2.7
13800,1,1000,2,6.9
13330,1,2000,2,3.33
13460,1,1500,2,4.49
13590,1,1500,2,4.53
13500,1,2500,2,2.7
13530,1,2500,2,2.71
13580,1,1000,2,6.79
13460,1,2000,2,3.37
13180,1,1500,2,4.39
13350,1,2500,2,2.67
14000,1,1000,2,7
13780,1,1500,2,4.59
13520,1,2500,2,2.7
13860,1,2500,2,2.77
13430,1,1000,2,6.71
13480,1,1500,2,4.49
14220,1,2000,2,3.56
13640,1,2000,2,3.41
13830,1,2000,2,3.46
13970,1,1000,2,6.99
13450,1,500,2,13.45
13460,1,1000,2,6.73
13550,1,1500,2,4.52
13090,1,2500,2,2.62
13820,1,2000,2,3.46
13590,1,2500,2,2.72
13590,1,2500,2,2.72
13420,1,2000,2,3.35
13730,1,2500,2,2.75
13440,1,500,2,13.44
13620,1,1000,2,6.81
13270,1,2500,2,2.65
10600,2,1500,2,3.53
10540,2,500,2,10.54
10680,2,1500,2,3.56
10570,2,1500,2,3.52
10610,2,2000,2,2.65
10450,2,500,2,10.45
10750,2,1500,2,3.58
10760,2,2000,2,2.69
10620,2,500,2,10.62
10550,2,2000,2,2.64
10510,2,500,2,10.51
10600,2,2500,2,2.12
10450,2,2500,2,2.09
10640,2,1500,2,3.55
10700,2,2000,2,2.67
10770,2,2500,2,2.15
10740,2,2500,2,2.15
10520,2,2500,2,2.1
10700,2,2500,2,2.14
10470,2,2500,2,2.09
10560,2,2500,2,2.11
10720,2,2000,2,2.68
10750,2,2000,2,2.69
10610,2,1000,2,5.3
10380,2,2500,2,2.08
10610,2,1000,2,5.3
10490,2,2500,2,2.1
10520,2,2000,2,2.63
10640,2,2500,2,2.13
10560,2,1000,2,5.28
10670,2,2000,2,2.67
10530,2,2500,2,2.11
10430,2,2000,2,2.61
10590,2,1500,2,3.53
10720,2,1500,2,3.57
10550,2,2000,2,2.64
