@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
18140,1,500,2,18.14
18270,1,1000,2,9.13
18060,1,500,2,18.06
18560,1,500,2,18.56
17970,1,500,2,17.97
17960,1,1500,2,5.99
18020,1,500,2,18.02
18390,1,1000,2,9.2
17440,1,1500,2,5.81
18950,1,500,2,18.95
17910,1,500,2,17.91
17920,1,500,2,17.92
18610,1,500,2,18.61
18620,1,2000,2,4.66
17970,1,500,2,17.97
17810,1,500,2,17.81
18560,1,500,2,18.56
18220,1,500,2,18.22
18140,1,500,2,18.14
18300,1,1000,2,9.15
18780,1,500,2,18.78
17930,1,500,2,17.93
17950,1,500,2,17.95
18160,1,500,2,18.16
17930,1,1000,2,8.96
18330,1,500,2,18.33
17820,1,500,2,17.82
18330,1,1500,2,6.11
18570,1,500,2,18.57
18550,1,1000,2,9.28
18660,1,500,2,18.66
18650,1,500,2,18.65
17870,1,2000,2,4.47
18900,1,2500,2,3.78
18430,1,1000,2,9.21
18290,1,1000,2,9.14
17140,1,500,2,17.14
17480,1,2000,2,4.37
18640,1,500,2,18.64
18230,1,1500,2,6.08
18460,1,500,2,18.46
17660,1,1500,2,5.89
18730,1,500,2,18.73
17920,1,500,2,17.92
17410,1,1500,2,5.8
18100,1,500,2,18.1
18170,1,1500,2,6.06
18250,1,500,2,18.25
18530,1,500,2,18.53
18030,1,500,2,18.03
17920,1,500,2,17.92
17770,1,500,2,17.77
18590,1,1000,2,9.29
18400,1,500,2,18.4
18460,1,500,2,18.46
17810,1,500,2,17.81
18390,1,500,2,18.39
17540,1,500,2,17.54
18910,1,1000,2,9.46
18060,1,500,2,18.06
18320,1,500,2,18.32
18140,1,1500,2,6.05
18430,1,1500,2,6.14
17890,1,500,2,17.89
17800,1,500,2,17.8
18350,1,500,2,18.35
18110,1,500,2,18.11
18030,1,1500,2,6.01
18630,1,1000,2,9.31
17990,1,500,2,17.99
18100,1,1000,2,9.05
18920,1,500,2,18.92
18600,1,1000,2,9.3
18370,1,500,2,18.37
17910,1,1000,2,8.96
17910,1,500,2,17.91
18120,1,1000,2,9.06
17320,1,500,2,17.32
17160,1,1000,2,8.58
18500,1,500,2,18.5
18200,1,1000,2,9.1
18070,1,1000,2,9.04
17700,1,500,2,17.7
