@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
100,17,500,2,0.1
1456,1,2500,2,0.29
1363,1,2500,2,0.27
1575,1,2500,2,0.32
1171,1,1500,2,0.39
1529,1,2500,2,0.31
1539,1,2500,2,0.31
736,1,500,2,0.74
1564,1,2500,2,0.31
1571,1,1500,2,0.52
1111,1,1000,2,0.56
1252,1,2500,2,0.25
1402,1,1500,2,0.47
1338,1,1000,2,0.67
1273,1,1500,2,0.42
913,1,2500,2,0.18
1468,1,500,2,1.47
1711,1,2500,2,0.34
1525317,1,1000,2,762.66
35243,1,500,2,35.24
39466,1,1000,2,19.73
2906741,1,2000,2,726.69
453864,4,1500,2,151.29
1602,1,1000,2,0.8
4827,1,1500,2,1.61
1466189,1,1000,2,733.09
33000,2,1500,2,11
4950,1,2500,2,0.99
1994,6,2500,2,0.4
118,17,1500,2,0.04
1337,1,2500,2,0.27
910,1,2500,2,0.18
1345,1,1000,2,0.67
1382,1,2500,2,0.28
1082,1,2500,2,0.22
1315,1,2500,2,0.26
1334,1,1500,2,0.44
1456,1,2500,2,0.29
1740,1,1000,2,0.87
754,1,2500,2,0.15
1618,1,2500,2,0.32
1306,1,1500,2,0.44
1545,1,1500,2,0.52
1403,1,2500,2,0.28
1571,1,1500,2,0.52
1888,1,1500,2,0.63
1255,1,1000,2,0.63
1833948,1,1000,2,916.97
27450,1,1000,2,13.72
50248,1,1000,2,25.12
2797429,1,1500,2,932.48
525864,4,1000,2,262.93
1312,1,1000,2,0.66
3721,1,2500,2,0.74
1643565,1,2500,2,328.71
33000,2,2500,2,6.6
3292,1,2500,2,0.66
1389,6,1000,2,0.69
100,20,500,2,0.1
1454,1,1500,2,0.48
1114,1,1500,2,0.37
1245,1,1500,2,0.41
1184,1,2500,2,0.24
1489,1,2500,2,0.3
1593,1,2500,2,0.32
959,1,2500,2,0.19
999,1,1500,2,0.33
1656,1,2500,2,0.33
1736,1,2500,2,0.35
1169,1,1500,2,0.39
1423,1,1500,2,0.47
1073,1,1000,2,0.54
1140,1,2500,2,0.23
1001,1,1000,2,0.5
859,1,1500,2,0.29
979,1,2500,2,0.2
963,1,1500,2,0.32
1423,1,1000,2,0.71
1430,1,2500,2,0.29
788691,1,2000,2,197.17
27150,1,500,2,27.15
