@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
3810,497,2500,2,0.76
9380,497,2500,2,1.88
99150,1,1000,2,49.58
44100,1,2500,2,8.82
1470,1,1000,2,0.73
26190,1,1500,2,8.73
800,1,2000,2,0.2
34360,1,2000,2,8.59
770,1,2500,2,0.15
31220,1,1000,2,15.61
1260,1,2000,2,0.32
56030,1,2500,2,11.21
1000,1,1000,2,0.5
26360,1,2000,2,6.59
610,1,2500,2,0.12
48990,1,1000,2,24.5
1630,1,500,2,1.63
50030,1,2000,2,12.51
1010,1,500,2,1.01
23940,1,1000,2,11.97
610,1,2000,2,0.15
64750,1,1500,2,21.58
1370,1,1000,2,0.69
36650,1,1000,2,18.32
1450,1,1000,2,0.72
56190,1,2000,2,14.05
1220,1,2500,2,0.24
30460,1,2500,2,6.09
750,1,1500,2,0.25
23820,1,1500,2,7.94
920,1,1500,2,0.31
56400,1,1500,2,18.8
1540,1,2000,2,0.39
25500,1,2000,2,6.38
690,1,1500,2,0.23
41960,1,2500,2,8.39
1540,1,1500,2,0.51
52050,1,1000,2,26.02
790,1,2000,2,0.2
55540,1,2500,2,11.11
810,1,1500,2,0.27
32340,1,2000,2,8.09
1470,1,2500,2,0.29
24760,1,2500,2,4.95
980,1,2000,2,0.24
25760,1,1000,2,12.88
720,1,2500,2,0.14
46160,1,1000,2,23.08
560,1,2500,2,0.11
25440,1,500,2,25.44
1580,1,1000,2,0.79
35230,1,2000,2,8.81
1520,1,2500,2,0.3
47030,1,2500,2,9.41
860,1,1500,2,0.29
26470,1,2500,2,5.29
1130,1,2000,2,0.28
44090,1,1000,2,22.05
1050,1,500,2,1.05
37650,1,1500,2,12.55
1510,1,1500,2,0.5
64790,1,2000,2,16.2
900,1,2000,2,0.23
38320,1,1500,2,12.77
730,1,2000,2,0.18
37500,1,1500,2,12.5
1310,1,2000,2,0.33
49460,1,2000,2,12.37
