@RELATION task_execution_prediction

@ATTRIBUTE task_length NUMERIC
@ATTRIBUTE num_parents NUMERIC
@ATTRIBUTE vm_mips NUMERIC
@ATTRIBUTE vm_pes NUMERIC
@ATTRIBUTE actual_execution_time NUMERIC

@DATA
56920,1,500,2,56.92
26020,1,500,2,26.02
72320,1,1000,2,36.16
32780,1,1000,2,16.39
70960,1,1500,2,23.65
67630,1,2000,2,16.91
55070,1,2500,2,11.01
1300,1,500,2,1.3
2530,1,500,2,2.53
1400,1,500,2,1.4
1590,1,500,2,1.59
1880,1,500,2,1.88
1580,1,500,2,1.58
1140,1,500,2,1.14
1870,1,1000,2,0.94
840,1,500,2,0.84
3990,1,500,2,3.99
1040,1,1500,2,0.35
420,1,500,2,0.42
1890,1,500,2,1.89
1180,1,2000,2,0.29
940,1,1000,2,0.47
1030,1,500,2,1.03
1250,1,500,2,1.25
1880,1,500,2,1.88
1740,1,500,2,1.74
1320,1,500,2,1.32
1540,1,500,2,1.54
100,1,1000,2,0.05
4070,1,500,2,4.07
550,1,2000,2,0.14
100,1,500,2,0.1
2460,1,500,2,2.46
580,1,500,2,0.58
4240,1,500,2,4.24
2770,1,1500,2,0.92
100,1,500,2,0.1
1990,1,500,2,1.99
2320,1,500,2,2.32
2880,1,2500,2,0.58
100,1,500,2,0.1
1610,1,500,2,1.61
1090,1,500,2,1.09
860,1,500,2,0.86
990,1,1000,2,0.49
530,1,500,2,0.53
820,1,500,2,0.82
620,1,500,2,0.62
580,1,500,2,0.58
890,1,1000,2,0.45
480,1,500,2,0.48
1080,1,500,2,1.08
1850,1,1000,2,0.93
340,1,500,2,0.34
1960,1,500,2,1.96
610,1,500,2,0.61
100,1,500,2,0.1
1160,1,2000,2,0.29
440,1,500,2,0.44
1880,1,500,2,1.88
180,1,500,2,0.18
750,1,500,2,0.75
440,1,500,2,0.44
1330,1,500,2,1.33
4100,1,2000,2,1.02
100,1,500,2,0.1
1730,1,500,2,1.73
100,1,500,2,0.1
1120,1,500,2,1.12
1520,1,1000,2,0.76
930,1,2000,2,0.23
100,1,1500,2,0.03
2130,1,500,2,2.13
100,1,500,2,0.1
110,1,500,2,0.11
500,1,500,2,0.5
2670,1,1000,2,1.33
1140,1,500,2,1.14
1160,1,500,2,1.16
1290,1,500,2,1.29
900,1,500,2,0.9
1680,1,500,2,1.68
1660,1,500,2,1.66
1470,1,500,2,1.47
1380,1,1500,2,0.46
420,1,1000,2,0.21
3360,1,500,2,3.36
860,1,500,2,0.86
790,1,500,2,0.79
2190,1,1000,2,1.09
1210,1,1000,2,0.6
1460,1,500,2,1.46
790,1,2000,2,0.2
2290,1,1500,2,0.76
3050,1,500,2,3.05
650,1,500,2,0.65
2800,1,2500,2,0.56
180,1,500,2,0.18
390,1,500,2,0.39
1800,1,1000,2,0.9
1780,1,500,2,1.78
390,1,2000,2,0.1
1900,1,500,2,1.9
4350,1,500,2,4.35
100,1,500,2,0.1
2070,1,500,2,2.07
270,1,500,2,0.27
4920,1,500,2,4.92
3070,1,500,2,3.07
100,1,500,2,0.1
610,1,2500,2,0.12
2830,1,500,2,2.83
590,1,500,2,0.59
560,1,1000,2,0.28
1630,1,500,2,1.63
560,1,500,2,0.56
1350,1,500,2,1.35
580,1,1500,2,0.19
970,1,500,2,0.97
1230,1,500,2,1.23
610,1,1000,2,0.3
290,1,500,2,0.29
730,1,500,2,0.73
720,1,500,2,0.72
710,1,1000,2,0.35
520,1,500,2,0.52
100,1,500,2,0.1
1440,1,500,2,1.44
390,1,500,2,0.39
1140,1,500,2,1.14
500,1,500,2,0.5
2310,1,500,2,2.31
100,1,500,2,0.1
3340,1,1000,2,1.67
720,1,500,2,0.72
100,1,1000,2,0.05
540,1,500,2,0.54
2020,1,500,2,2.02
1940,1,1000,2,0.97
660,1,2000,2,0.17
2440,1,1000,2,1.22
100,1,500,2,0.1
2590,1,500,2,2.59
930,1,2000,2,0.23
400,1,500,2,0.4
720,1,500,2,0.72
470,1,500,2,0.47
1110,1,500,2,1.11
1290,1,500,2,1.29
1630,1,500,2,1.63
2350,1,500,2,2.35
2330,1,500,2,2.33
1410,1,1500,2,0.47
2700,1,500,2,2.7
1860,1,2500,2,0.37
1310,1,500,2,1.31
1280,1,500,2,1.28
3110,1,500,2,3.11
1210,1,500,2,1.21
5410,1,500,2,5.41
1060,1,500,2,1.06
1080,1,500,2,1.08
2600,1,1500,2,0.87
2120,1,500,2,2.12
2020,1,500,2,2.02
1390,1,500,2,1.39
210,1,500,2,0.21
4310,1,500,2,4.31
100,1,2000,2,0.03
1410,1,500,2,1.41
890,1,500,2,0.89
2700,1,500,2,2.7
3880,1,500,2,3.88
110,1,1500,2,0.04
2460,1,500,2,2.46
2460,1,1500,2,0.82
100,1,500,2,0.1
860,1,500,2,0.86
1470,1,2000,2,0.37
2490,1,500,2,2.49
100,1,500,2,0.1
3070,1,1000,2,1.53
1760,1,500,2,1.76
1390,1,500,2,1.39
1730,1,1500,2,0.58
1930,1,1500,2,0.64
2190,1,500,2,2.19
1250,1,1500,2,0.42
1710,1,500,2,1.71
1450,1,500,2,1.45
1810,1,1000,2,0.91
1160,1,1000,2,0.58
2060,1,500,2,2.06
980,1,500,2,0.98
1120,1,500,2,1.12
3040,1,500,2,3.04
740,1,500,2,0.74
1760,1,1000,2,0.88
3110,1,500,2,3.11
3170,1,500,2,3.17
160,1,500,2,0.16
4070,1,2000,2,1.02
1440,1,500,2,1.44
100,1,500,2,0.1
640,1,500,2,0.64
4470,1,2500,2,0.89
100,1,2000,2,0.03
4040,1,1000,2,2.02
240,1,500,2,0.24
2210,1,500,2,2.21
490,1,1500,2,0.16
990,1,500,2,0.99
3110,1,500,2,3.11
3420,1,2500,2,0.68
1360,1,500,2,1.36
100,1,500,2,0.1
